transaction_id,transaction_date,transaction_type,customer_id,customer_name,grain_type,operation,number_of_bags,bag_weight_kg,total_weight_kg,quality_grade,moisture_content
1,2024-09-25,Warehouse Movement,723,Customer_723,Sorghum,IN,51,25,1275,B,15.04
2,2023-01-31,Warehouse Movement,883,Customer_883,Wheat,IN,30,25,750,B,15.37
3,2023-02-18,Warehouse Movement,856,Customer_856,Millet,IN,150,25,3750,B,11.24
4,2023-12-11,Warehouse Movement,1854,Customer_1854,Maize,OUT,77,50,3850,A,12.67
5,2024-11-20,Warehouse Movement,1333,Customer_1333,Barley,IN,42,50,2100,B,15.36
6,2024-08-02,Warehouse Movement,1029,Customer_1029,Barley,IN,80,25,2000,A,16.26
7,2023-03-19,Warehouse Movement,4,Customer_4,Rice,IN,66,50,3300,C,14.92
8,2023-01-22,Warehouse Movement,1098,Customer_1098,Rice,IN,57,25,1425,B,13.76
9,2024-11-09,Warehouse Movement,144,Customer_144,Sorghum,OUT,104,25,2600,B,15.69
10,2023-05-31,Warehouse Movement,395,Customer_395,Barley,OUT,19,50,950,C,11.55
11,2023-08-09,Warehouse Movement,155,Customer_155,Rice,OUT,43,50,2150,C,12.09
12,2024-09-14,Warehouse Movement,1391,Customer_1391,Rice,IN,68,25,1700,A,10.27
13,2024-02-03,Warehouse Movement,595,Customer_595,Rice,IN,47,25,1175,C,11.24
14,2023-04-17,Warehouse Movement,1521,Customer_1521,Millet,OUT,165,50,8250,A,14.62
15,2023-05-09,Warehouse Movement,128,Customer_128,Maize,IN,170,25,4250,A,10.4
16,2023-11-29,Warehouse Movement,306,Customer_306,Wheat,OUT,96,25,2400,A,15.15
17,2024-02-16,Warehouse Movement,1350,Customer_1350,Millet,OUT,181,50,9050,C,14.82
18,2024-05-09,Warehouse Movement,1461,Customer_1461,Barley,OUT,76,25,1900,C,15.75
19,2023-09-21,Warehouse Movement,1087,Customer_1087,Millet,OUT,146,25,3650,A,14.91
20,2024-01-21,Warehouse Movement,1487,Customer_1487,Rice,IN,145,25,3625,B,11.84
21,2024-07-23,Warehouse Movement,1627,Customer_1627,Barley,OUT,192,25,4800,B,12.61
22,2023-01-16,Warehouse Movement,1512,Customer_1512,Wheat,OUT,96,25,2400,B,11.91
23,2023-09-20,Warehouse Movement,470,Customer_470,Wheat,IN,198,50,9900,A,12.26
24,2023-12-27,Warehouse Movement,1503,Customer_1503,Sorghum,OUT,94,25,2350,A,14.18
25,2023-09-30,Warehouse Movement,1384,Customer_1384,Rice,IN,39,25,975,B,14.62
26,2023-04-09,Warehouse Movement,553,Customer_553,Maize,OUT,13,25,325,C,13.05
27,2024-09-19,Warehouse Movement,991,Customer_991,Wheat,IN,77,25,1925,B,16.13
28,2024-03-28,Warehouse Movement,1249,Customer_1249,Wheat,IN,59,50,2950,C,13.56
29,2023-12-23,Warehouse Movement,1428,Customer_1428,Wheat,OUT,17,50,850,C,10.09
30,2023-03-02,Warehouse Movement,919,Customer_919,Rice,IN,113,50,5650,C,12.94
31,2023-05-15,Warehouse Movement,336,Customer_336,Wheat,IN,46,25,1150,C,15.6
32,2024-04-01,Warehouse Movement,1855,Customer_1855,Barley,OUT,179,25,4475,B,15.59
33,2024-04-12,Warehouse Movement,402,Customer_402,Sorghum,OUT,192,25,4800,C,11.67
34,2023-02-20,Warehouse Movement,277,Customer_277,Maize,OUT,161,25,4025,C,16.46
35,2024-03-02,Warehouse Movement,1566,Customer_1566,Maize,OUT,95,50,4750,B,10.35
36,2024-02-22,Warehouse Movement,1866,Customer_1866,Sorghum,IN,109,25,2725,A,12.35
37,2024-01-21,Warehouse Movement,141,Customer_141,Barley,IN,49,25,1225,A,12.62
38,2023-01-05,Warehouse Movement,903,Customer_903,Wheat,OUT,55,25,1375,C,13.06
39,2024-02-02,Warehouse Movement,628,Customer_628,Maize,IN,117,25,2925,C,10.82
40,2023-12-31,Warehouse Movement,1876,Customer_1876,Sorghum,IN,11,25,275,A,13.98
41,2024-05-11,Warehouse Movement,1520,Customer_1520,Barley,OUT,195,25,4875,B,10.82
42,2024-07-17,Warehouse Movement,43,Customer_43,Wheat,OUT,41,25,1025,C,10.85
43,2023-04-28,Warehouse Movement,1193,Customer_1193,Wheat,IN,23,50,1150,B,12.52
44,2023-08-02,Warehouse Movement,743,Customer_743,Maize,IN,106,50,5300,C,14.9
45,2024-04-15,Warehouse Movement,1972,Customer_1972,Sorghum,OUT,139,25,3475,A,16.32
46,2023-07-11,Warehouse Movement,601,Customer_601,Maize,OUT,44,50,2200,A,15.78
47,2023-09-14,Warehouse Movement,1856,Customer_1856,Millet,IN,131,25,3275,B,11.56
48,2023-05-10,Warehouse Movement,1106,Customer_1106,Wheat,IN,67,25,1675,C,11.69
49,2024-11-12,Warehouse Movement,1560,Customer_1560,Sorghum,IN,161,25,4025,A,12.22
50,2023-11-26,Warehouse Movement,532,Customer_532,Maize,IN,63,25,1575,C,10.48
51,2023-11-24,Warehouse Movement,1891,Customer_1891,Millet,OUT,113,50,5650,C,13.17
52,2023-05-09,Warehouse Movement,1683,Customer_1683,Maize,OUT,131,50,6550,C,13.1
53,2023-06-28,Warehouse Movement,714,Customer_714,Millet,IN,69,50,3450,B,12.09
54,2023-06-16,Warehouse Movement,245,Customer_245,Barley,IN,70,25,1750,A,15.77
55,2023-08-02,Warehouse Movement,1779,Customer_1779,Wheat,OUT,139,25,3475,C,15.54
56,2023-06-26,Warehouse Movement,762,Customer_762,Rice,OUT,160,50,8000,B,13.93
57,2023-02-08,Warehouse Movement,225,Customer_225,Wheat,IN,196,25,4900,A,12.95
58,2024-11-23,Warehouse Movement,1262,Customer_1262,Wheat,OUT,94,25,2350,C,15.56
59,2023-01-11,Warehouse Movement,142,Customer_142,Millet,IN,127,25,3175,B,13.69
60,2023-10-29,Warehouse Movement,1353,Customer_1353,Maize,IN,148,50,7400,A,15.58
61,2023-07-23,Warehouse Movement,385,Customer_385,Maize,IN,10,50,500,B,10.03
62,2023-07-22,Warehouse Movement,949,Customer_949,Sorghum,IN,59,50,2950,B,13.33
63,2023-07-14,Warehouse Movement,1053,Customer_1053,Rice,IN,143,25,3575,C,11.45
64,2024-05-06,Warehouse Movement,619,Customer_619,Sorghum,IN,137,50,6850,B,11.84
65,2023-11-14,Warehouse Movement,1017,Customer_1017,Rice,OUT,118,25,2950,C,15.57
66,2024-01-06,Warehouse Movement,98,Customer_98,Sorghum,OUT,78,25,1950,B,15.15
67,2024-04-11,Warehouse Movement,795,Customer_795,Maize,IN,162,25,4050,A,10.07
68,2023-06-11,Warehouse Movement,1406,Customer_1406,Wheat,IN,182,50,9100,B,11.27
69,2023-09-16,Warehouse Movement,1259,Customer_1259,Maize,IN,133,50,6650,C,15.99
70,2023-10-07,Warehouse Movement,486,Customer_486,Rice,IN,53,25,1325,B,11.0
71,2023-12-13,Warehouse Movement,537,Customer_537,Maize,OUT,151,25,3775,A,15.63
72,2024-03-20,Warehouse Movement,731,Customer_731,Wheat,IN,130,50,6500,A,13.06
73,2023-05-07,Warehouse Movement,738,Customer_738,Rice,IN,111,50,5550,A,11.51
74,2024-01-05,Warehouse Movement,1088,Customer_1088,Barley,IN,63,50,3150,C,11.81
75,2024-02-04,Warehouse Movement,223,Customer_223,Barley,IN,187,25,4675,A,15.43
